216,228,339,252,1,0.9368818402290344
208,275,346,310,1,0.8015519976615906
191,334,335,349,1,0.8248457312583923
334,335,350,350,1,0.948494017124176
353,334,370,366,1,0.9973287582397461
192,347,292,363,1,0.8438795804977417
290,347,334,363,1,0.9961012005805969
192,361,293,377,1,0.9946271777153015
289,361,334,378,1,0.8264066576957703
337,361,352,378,1,0.9996707439422607
355,360,369,378,1,0.9989615678787231
192,374,294,393,1,0.9955537915229797
305,375,334,393,1,0.7094709873199463
337,375,352,393,1,0.7081857919692993
354,374,369,393,1,0.9735137224197388
192,388,224,405,1,0.9980524778366089
235,388,293,406,1,0.9946730732917786
294,391,305,403,1,0.9997666478157043
321,389,332,404,1,0.9920371770858765
354,388,368,406,1,0.9988054037094116
195,404,207,417,1,0.9980427026748657
276,402,307,420,1,0.6568101644515991
332,399,358,458,1,0.9932426810264587
355,402,369,419,1,0.8589460253715515
197,420,205,443,1,0.7082045078277588
556,435,587,452,1,0.6968799233436584
197,452,227,469,1,0.6344161033630371
198,475,211,511,1,0.7616678476333618
212,478,225,487,1,0.8616279363632202
266,485,280,501,1,0.7390339374542236
339,487,353,506,1,0.6061054468154907
199,508,253,520,1,0.8684949278831482
252,506,269,520,1,0.6163148880004883
267,508,280,519,1,0.995313286781311
281,509,293,519,1,0.9990758895874023
293,505,355,521,1,0.9385808110237122
431,528,451,643,1,0.5712896585464478
517,521,539,876,1,0.8565384149551392
540,522,559,903,1,0.8606594800949097
559,522,582,903,1,0.8684184551239014
177,539,215,552,1,0.7740416526794434
482,546,502,595,1,0.9992508888244629
588,538,622,904,1,0.941107988357544
470,588,493,907,1,0.8577513098716736
492,587,512,906,1,0.7192032337188721
236,714,296,730,1,0.611321747303009
341,718,362,743,1,0.9997307658195496
215,729,315,745,1,0.8132872581481934
338,730,366,889,1,0.8775953650474548
200,752,331,770,1,0.7015300989151001
204,765,216,777,1,0.5064782500267029
226,787,244,800,1,0.9058387875556946
273,787,298,800,1,0.571765661239624
216,806,231,822,1,0.9164052605628967
231,808,242,821,1,0.986034631729126
221,853,310,871,1,0.7657032012939453
244,872,260,888,1,0.9939092397689819
177,913,224,923,1,0.6502030491828918
232,928,369,939,1,0.5758056044578552
