131,241,430,270,1,0.0002466600745570185
95,281,115,303,1,0.007842356317949717
95,313,115,335,1,0.012585608268423698
94,354,118,406,1,0.0024207512785920926
97,411,115,461,1,0.0009738055218772336
94,468,118,504,1,0.0015947643742644235
220,618,254,642,1,0.008071229910310888
276,618,344,642,1,0.020663485204073424
125,663,167,683,1,0.02096027437959039
474,676,510,706,1,0.0008787537806221324
138,698,410,726,1,0.006865806194884926
477,703,509,719,1,0.0010554615717898704
180,730,282,756,1,0.0005136964609846473
177,769,426,799,1,0.004780017354094975
177,809,464,839,1,0.035694421547547976
