特輯,欄目,題目,作者/譯者,備考,起始頁
__,,封面,,,1
__,廣告,商務印書館發行「婦女雜誌三卷廣告」,,,2
__,,婦女雜誌第三卷第一號目次,,,3
__,廣告,英文雜誌第三卷新年大增刊出版,,,5
__,廣告,《科學》科學第三卷第一期年會號目錄,,,6
__,廣告,商務印書館出版「革新的算術書」《國民學校新體算術教授科書》,,,7
__,廣告,商務印書館發行《英語週刊》,,,8
__,廣告,商務印書館發行「女子必讀之書」,,,9
__,廣告,中國圖書公司和記發行《小說海》第三卷,,,10
__,插圖,宋趙仲僩畫五王熙春圖,,,闕疑
__,插圖,愛讀婦女雜誌者幾何遊戲之著者華陽謝芸先女士化妝攝影,,,闕疑
__,插圖,直隸第一女子師範學校華蹤隱華蹤縈女士水彩畫,__,__,11
__,插圖,直隸第一女子師範學校吳迅如唐尹昭楊彥威王迂懷諸女士小影,__,__,11
__,插圖,直隸第二女子師範學校十週紀念會攝影(一)啞鈴體操(二)群盲補魚(三)盲跛寫字(四)工業傳習(五)大進行,__,__,12
__,廣告,教育必備「共和國教科書新國文教案」,,,14
__,社說,家庭大小論,美國Carl Eastrn Williame原著、樹聲、西神〔譯〕,__,15
__,廣告,商務印書館發行「文學家之寶筏」《評註諸子菁華錄》,,,24
__,學藝門,家庭藥物學,朱夢梅,__,25
__,學藝門,果物之話,西神,__,32
__,學藝門,夢之研究小兒科治療之一法科學上新奇之學說,愛庭登原著、鴛湖寄生譯意,__,34
__,補白,碎佩叢鈴,西神,__,40
__,廣告,教育雜誌要目預告九卷一號,,,42
__,家政門,育兒問答,美國何爾特〔著〕、瞿宣穎譯述,__,43
__,家政門,婦女應有之智識,陸墓第三國民學校汪集庭,__,53
__,家政門,家教改良談(續二卷一二號),江陰莊慶祥,__,55
__,家政門,婚姻以時之商榷,美國威靈姆女士〔著〕、天行〔譯〕,__,65
__,家政門,新發明之婦人自活法譯日本婦人世界,西神〔譯〕,__,73
__,家政門,中國社會病情溯源表,周厚坤,__,77
__,廣告,商務印書館發行《東方雜誌》十三卷第十二號出版,,,79
__,記述門,紀愛爾蘭革黨女郎摩拉梨根Moira Regan述杜柏林(愛首都)戰事情形,喬斯吉滿Joyee Kilmer著、天風、无我同譯,__,80
__,記述門,菲律賓新年雜誌,亞娥女士,__,87
__,記述門,汴梁遊記(附圖二),蔡陳漢俠,__,89
__,記述門,華僑教育界之女傑,趙正平,__,95
__,廣告,商務印書館發行《名人書畫》第一集,,,99
__,文苑,張母陳夫人墓誌銘,吳恭亨,__,100
__,文苑,天足會序,胡然女士,__,101
__,文苑,詩,張默君﹑錢雲輝二女史,__,102
__,補白,然脂餘韻,西神,__,105
__,廣告,商務印書館《石頭記索隱》出版預告,,,107
__,小說,杜鵑魂,寒蕾,__,108
__,小說,淑媛感遇記,寄塵,__,120
__,小說,俄孝女復仇記,舍我,__,122
__,小說,楓林鴛語,西神,__,129
__,小說,霜整冰清錄彈詞,惜華,__,131
__,補白,女學要聞,__,__,135
__,廣告,「勤學者有獎」商務印書館附設函授學社英文科啟,,,137
__,國文範作,省立第二女子師範學校諸姊妹蒞校參觀紀盛,吳江私立麗則女子中學二年級生金蘅,__,138
__,國文範作,作新吳江縣立第一女子高等小學校校舍記,吳江私立麗則女子中學一年級生辜臥雲,__,139
__,國文範作,作新吳江縣立第一女子高等小學校校宇記,錢基博撰,__,140
__,國文範作,擬賀馮華甫督軍當選副總統書,上海聖馬利亞書院女學生江寧章金寶,__,142
__,國文範作,擬遙祭蔡公松坡文,章金寶,__,142
__,國文範作,禮堂木犀記,湖北省立女子中學校四年級生劉明暉,__,143
__,國文範作,晏子御者妻論,河南省立女師範學生閻芳文,__,144
__,國文範作,譯歐文拊掌錄自序,上海務本女塾高等科甲級生華昭復,__,144
__,廣告,商務印書館發行《小說月報》八卷廣告,,,147
__,雜俎,女藝文志,江山淵,__,148
__,雜俎,閨秀詩話(續),亶父,__,151
__,補白,女學要聞 記學藝會事十一月十一日作,張譽揚,__,155
__,廣告,「兒童益智畫一」、「兒童益智畫二」答中者均有贈品「菊花詩案限車如書三韻」婦女雜誌社啟,,,157
__,餘興,通俗演講及遊藝會最適用之幻術,夢梅、寄社,__,158
__,餘興,西笑林,茹勝,__,161
__,餘興,奚囊寸錦(附圖三),竹西張潮山來原著、梁溪王蘊章蒪農校訂,__,162
__,餘興,蘭閨醒睡錄,湘纍,__,166
__,餘興,家庭俱樂部(寒假期內之日記、減省家庭經濟之製造品、嗬蘭水之簡製法、洋刀可代圓規、自製之冰、天然之自來水筆、雞卵彩蛋製造法、家庭新遊戲),西神輯(作者:張欽蘭、姑蘇仲英、彭城雍侯、烏蟄廬),__,167
__,餘興,幾何遊戲八則(附圖五),謝芸先女士,__,176
__,廣告,商務印書館發行「涵芬樓秘笈第一集」,,,179
__,廣告,教育部審定「學生翫具」《益智圖》、《益智續圖》、《益智字圖》、《益智燕几圖》,,,180
__,廣告,《學生雜誌》四卷預告,,,181
__,廣告,上海中國圖書公司和記出版《國文成語辭典》,,,182
__,廣告,商務印書館出版梁任公新著《國民淺訓》,,,183
__,廣告,「脫離苦海」韋廉士大醫生紅色補丸,,,184
