特輯,欄目,題目,作者/譯者,備考,起始頁
__,__,封面,,,1
__,廣告,育嬰珍品「勒吐精代乳粉」,,,2
__,廣告,商務印書館發售「兩大預約」《說郛》、《湘綺樓日記》,,,3
__,,婦女雜誌第十三卷第三號目次,,,5
__,插圖,柳浪聞鶯(西湖風景),__,__,7
__,插圖,先賢祠及萬字亭(西湖風景),__,__,8
__,插圖,洞泉松雨(李曉東畫),__,__,9
__,插圖,疏林細泉(林一山畫),__,__,10
__,廣告,《英語週刊》六百期紀念,,,11
__,廣告,「吉生嬰兒日加肥碩 推原其始實由嬰孩自己藥片之功力也」、「難安緘默」韋廉士醫生藥局嬰孩自己藥片、清導丸,,,12
__,__,新婦女與政治的訓練,尚木,__,14
__,補白,西方古代的貨幣,記者,__,19
__,__,交際場中的禮儀一束,少英,__,20
__,補白,心花,孚光,__,22
__,補白,微波,同上,__,22
__,廣告,服本園之白鳳丸有此功效 婦女有病請服「烏鷄白鳳丸」、「海狗腎精片」、「小兒回春丹」、「橘紅半夏露」廣東種德園老藥局；「華文打字機」商務印書館發行,,,23
__,廣告,棕欖香皂婦女均歡迎樂用,,,24
__,__,時下的急務,少英,__,25
__,__,奇怪的處女葬禮,郭魁武,__,28
__,__,女中之健者,少英,__,29
__,補白,可憐人,牟遜竹,__,30
__,廣告,國產味精「調味妙品」中國天廚味精製造廠創製,,,31
__,廣告,Kodak 閒居無事翻閱柯達攝影之成績山河歷歷恍如親臨其境,,,32
__,乙種徵文當選 春風中的紙鳶,三姑的紀念品,王世琯,__,33
__,乙種徵文當選 春風中的紙鳶,尚留膝蓋上的殘痕,朱春雷,__,34
__,乙種徵文當選 春風中的紙鳶,感謝兒童們的恩賜,天朴,__,36
__,乙種徵文當選 春風中的紙鳶,追念往事,冥疾,__,37
__,乙種徵文當選 春風中的紙鳶,美人嫁着春風去了,一心,__,39
__,乙種徵文當選 春風中的紙鳶,春風中的得意,陳品娟女士,__,40
__,乙種徵文當選 春風中的紙鳶,驀然形聲俱沒,徐村塵,__,42
__,乙種徵文當選 春風中的紙鳶,乘風的蜈蚣,彥劬,__,43
__,補白,奇形怪狀的影像,濃蔭,__,44
__,廣告,鷄眼用「加斯血」三分鐘內止痛 世界上最神速之方法；冠生園主人挽回利權「出核陳皮梅」、「菓汁牛肉」,,,45
__,廣告,敬告女界「病端雖持緩，就醫總宜早；然或限於時與地，則特效之藥，亦在所當之。下列各種，女界相需者多」,,,46
__,__,德國雜誌中的中國婚姻問題,H. Hirschbach〔著〕、唐哲〔譯〕,__,47
__,白描仕女,甘后,友如,__,54
__,廣告,世界最優秀完美之嬰孩「愛蘭百利代乳粉」,,,55
__,廣告,凡為父母者與其給孩子們錢去買攤兜上的東西吃不如把「福美明達保喉聖片」叫他含上幾片,,,56
__,__,唐朝婦女的化粧,蘋實,__,57
__,補白,液體羅盤,濃蔭,__,61
__,補白,烏龍茶的出典,濃蔭,__,61
__,__,裝飾之單純美,李寓一,__,62
__,補白,春郊,李佩秀女士,__,66
__,廣告,司各脫乳白鰵魚肝油；德國蔡司廠新製銀罩返光燈大小共十餘種 德商禮和洋行,,,67
__,廣告,商務印書館精印「名人墨跡」,,,68
__,__,探春雜記(附圖五),雪江,__,69
__,__,家庭中的謎語一輯,柳村,__,75
__,廣告,上海銀行公會會員銀行 浙江興業銀行儲蓄部廣告；商務印書館出版「遊覽指南」；家庭娛樂 經濟而又簡便者當推「高亭唱片」,,,83
__,廣告,笑 齒白齦健必更撫媚動人 污膜之隱掩美齒「必素定牙膏」,,,84
__,甲種徵文當選 貧婦的生活難,不為貧困,俞晉賢,__,85
__,甲種徵文當選 貧婦的生活難,三百錢一千的酬報,影影,__,86
__,甲種徵文當選 貧婦的生活難,東打西不着,黃造雄,__,88
__,甲種徵文當選 貧婦的生活難,這樣窮的媽媽,馬辰生,__,90
__,甲種徵文當選 貧婦的生活難,黃師母,忠言,__,92
__,甲種徵文當選 貧婦的生活難,饑腸轆轆,金煜華女士,__,93
__,甲種徵文當選 貧婦的生活難,她的苦笑,冥疾,__,95
__,甲種徵文當選 貧婦的生活難,啼飢號寒,曹靜媛,__,96
__,廣告,上海商務印書館出版「日常用書」,,,99
__,廣告,商務印書館出版關於「婦女問題」的新讀物,,,100
__,__,決裂,翟秀峰,__,101
__,__,夫婦,日本菊池寬著、葛綏成譯,__,108
__,補白,茶盤的花樣,記者,__,116
__,廣告,商務印書館發行《教育雜誌》、《學生雜誌》、《英文雜誌》、《少年雜誌》,,,117
__,廣告,商務印書館出版《醫學及藥物學用書》,,,118
__,__,孕母,堅白,__,119
__,__,阿鵝的家庭,徐學文,__,124
__,補白,精妙的手工藝製造品,記者,__,130
__,補白,悲苦的媳婦,邱景梅繪贈,__,130
__,廣告,商務印書館出版《個人及團體衛生》,,,131
__,廣告,「成功捷徑」商務印書館函授學社,,,132
__,__,永遠的孤零,左幹臣,__,133
__,補白,女子的篆刻,佃閣女子,__,139
__,__,初戀,張友仁,__,140
__,__,攝影術顧問,杜就田,__,143
__,__,醫師衛生顧問,程瀚章,__,145
__,__,十六年八月號徵文,__,__,148
__,廣告,商務印書館出版新書,,,149
__,廣告,投稿簡章,,,151
__,廣告,「人生最大之幸福後來之嗣續是也」、「兒女之由來韋廉士大醫生紅色補丸往往為之先導及其既來之後韋廉士嬰孩自己藥片必能保其安康」韋廉士大醫生紅色補丸,,,152
